2020-01-24 09:26:40.378 [main] INFO  com.lp.App - Starting App on PC-i7nv2070 with PID 8644 (D:\Users\Administrator\IdeaProjects\spring-boot-cloud\spring-boot-demo\target\classes started by Administrator in D:\Users\Administrator\IdeaProjects\spring-boot-cloud)
2020-01-24 09:26:40.380 [main] INFO  com.lp.App - No active profile set, falling back to default profiles: default
2020-01-24 09:26:40.898 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-01-24 09:26:40.904 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-01-24 09:26:40.905 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-01-24 09:26:40.905 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.30]
2020-01-24 09:26:40.954 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-01-24 09:26:40.954 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 548 ms
2020-01-24 09:26:41.050 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-01-24 09:26:41.132 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-01-24 09:26:41.145 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-01-24 09:26:41.146 [main] INFO  com.lp.App - Started App in 0.996 seconds (JVM running for 1.696)
2020-01-24 10:28:22.703 [main] INFO  c.l.s.SpringbootHelloworldApplication - Starting SpringbootHelloworldApplication on PC-i7nv2070 with PID 3568 (D:\Users\Administrator\IdeaProjects\spring-boot-cloud\spring-boot-demo\target\classes started by Administrator in D:\Users\Administrator\IdeaProjects\spring-boot-cloud)
2020-01-24 10:28:22.704 [main] INFO  c.l.s.SpringbootHelloworldApplication - No active profile set, falling back to default profiles: default
2020-01-24 10:28:23.288 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-01-24 10:28:23.293 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-01-24 10:28:23.293 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-01-24 10:28:23.293 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.30]
